what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495534875146
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495534878831
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495534891300
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1495534894188
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1495534914586
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1495534929409
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495534937312
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495534956586
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1495534961045
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1495534973731
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495534977385
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495534991688
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1495534993954
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1495534995478
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495535000847
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495535001925
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1495535001940
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1495535006178
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495535007266
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1495535010035
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495535012329
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1495535012790
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495535013411
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1495535013421
