what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495503906026
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1495503915523
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495503924363
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495503924599
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495503939013
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495504131088
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495504131691
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495504313812
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495504326899
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495504366051
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495504369777
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495504371493
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495504372857
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495504459840
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495504469627
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495504469983
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495504479728
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495504482397
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1495504482407
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495504484330
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495504487842
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1495504489508
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495504501137
