what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495602207438
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495602208717
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495602605359
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1495602608104
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495602610299
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495609016754
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495609017305
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495609041590
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495610809999
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495610812622
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495612108460
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1495612110489
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1495612114345
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1495612116363
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1495612118955
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495612121712
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495612838270
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495612857961
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495612864060
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495612910767
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495613294384
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495613328317
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495613328528
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495613331366
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495617876140
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495617878129
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495619632958
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495619635665
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495627619586
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495627631649
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495628259415
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495628262328
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495628263737
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495628277003
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.600.v201008171516,"org.eclipse.jst.ws.axis.creation.ui",1495628293407
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1495628293420
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.406.v201004211805,"org.eclipse.jst.ws.axis.consumption.core",1495628293420
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1495628293507
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1495628293508
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1495628293521
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1495628293531
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1495628293546
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1495628293547
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.0.v201003311345,"org.eclipse.jst.ws.cxf.creation.ui",1495628293555
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.510.v201011041151,"org.eclipse.jst.ws.creation.ui",1495628293556
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1495628293556
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.302.v201101191731,"org.eclipse.jst.ws.consumption.ui",1495628293657
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.507.v201004211805,"org.eclipse.jst.ws.consumption",1495628293658
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1495628293694
