what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495509230945
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495509233759
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495509234722
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495509235104
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495509238419
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495509238969
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495509247010
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.run",1495509249505
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1495509250275
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1495509255090
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1495509256647
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1495509272995
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495509275430
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495509276722
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495509280828
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495509345356
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1495509348504
opened,editor,net.sf.jadclipse,3.3.0,"net.sf.jadclipse.JadclipseClassFileEditor",1495509353450
activated,editor,net.sf.jadclipse,3.3.0,"net.sf.jadclipse.JadclipseClassFileEditor",1495509353668
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1495509355312
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.linkWithEditor",1495509355395
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495509381223
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495509384183
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495509385308
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495509385445
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495509385459
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495509629834
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495509631118
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495509631281
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495509631306
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495511619922
activated,editor,net.sf.jadclipse,3.3.0,"net.sf.jadclipse.JadclipseClassFileEditor",1495511620513
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495511672834
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495514770911
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495515251133
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495515253360
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495515260669
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495516283940
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1495516289782
closed,editor,net.sf.jadclipse,3.3.0,"net.sf.jadclipse.JadclipseClassFileEditor",1495516289783
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495516294977
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495516366604
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1495516368512
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1495516373607
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495516402017
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495516407748
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1495516415216
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.run",1495516417202
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1495516418879
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1495516418984
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1495516419134
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1495516426321
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1495516427854
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1495516469889
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1495516471648
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1495516472136
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495516480682
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1495516528478
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1495516535955
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1495516535978
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1495516536310
opened,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1495516536584
